word;sense 1;sense 2;sense 3
wage;leagueoflegends, skyrim;politics, economics;
jobs;politics, economics;apple;
vet;politics, economics;dog;
breed;dog;gaming, starcraft;
submission;dog;homeworkhelp;
lab;dog;medicine, chemistry;
labor;economics;medicine;
character;skyrim, books;typography;
level;skyrim;carpentry, diy, woodworking;
magic;skyrim;nba;
season;nba;farmingsimulator, farmville;
body;Fitness;cars;guitar
back;Fitness;legaladvice;
fit;Fitness;malefashionadvice;
hero;DotA2;worldnews;
market;investing;nutrition;
trade;investing;pokemon;
card;personalfinance;buildapc;
video;Music;buildapc;
cooler;Music;buildapc;
drive;buildapc;golf;cars
supply;buildapc;economics;
memory;buildapc;cogsci, psychology;
hard;buildapc;gaming;
fans;buildapc;soccer;
club;soccer;golf;
goals;soccer;politics, economics;
stream;pcmasterrace;CampingandHiking;
case;buildapc;legaladvice;
ford;toronto;cars;
interest;personalfinance;music;
house;personalfinance;gameofthrones;
tank;electronic_cigarette;WorldofTanks;
enterprise;economics;startrek;
snare;drums;CampingandHiking, conservation, environment;
ride;drums;bicycling;
stick;drums;hockey;
cut;woodworking;nba;
router;woodworking;buildapc;
drill;soccer;woodworking;
plane;woodworking;gaming;
manual;cars;buildapc;
track;hiphopheads, makinghiphop;athletics;
unit;army;woodworking;
chord;guitar;woodworking, diy;
air;sneakers;scuba;
